GENUS,SPECIES,Species
Abies,amabilis,X11
Abies,concolor,X15
Abies,grandis,X17
Abies,lasiocarpa,X19
Abies,magnifica,X20
Abies,procera,X22
Chamaecyparis,lawsoniana,X41
Chamaecyparis,nootkatensis,X42
Juniperus,californica,X62
Juniperus,occidentalis,X64
Larix,occidentalis,X73
Calocedrus,decurrens,X81
Picea,engelmannii,X93
Picea,sitchensis,X98
Pinus,albicaulis,X101
Pinus,attenuata,X103
Pinus,contorta,X108
Pinus,jeffreyi,X116
Pinus,lambertiana,X117
Pinus,monticola,X119
Pinus,ponderosa,X122
Pinus,sabiniana,X127
Pinus,monophylla,X133
Pseudotsuga,menziesii,X202
Sequoia,sempervirens,X211
Taxus,brevifolia,X231
Thuja,plicata,X242
Tsuga,heterophylla,X263
Tsuga,mertensiana,X264
Acer,macrophyllum,X312
Aesculus,californica,X333
Alnus,rubra,X351
Alnus,rhombifolia,X352
Arbutus,menziesii,X361
Betula,papyrifera,X375
Chrysolepis,chrysophylla,X431
Cornus,nuttallii,X492
Fraxinus,latifolia,X542
Notholithocarpus,densiflorus,X631
Populus,tremuloides,X746
Populus,balsamifera,X747
Prunus,emarginata,X768
Quercus,agrifolia,X801
Quercus,chrysolepis,X805
Quercus,douglasii,X807
Quercus,garryana,X815
Quercus,kelloggii,X818
Quercus,lobata,X821
Quercus,wislizeni,X839
Umbellularia,californica,X981
